Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
0, 1513593586,         18
1, 1513593587,         18
2, 1513593588,         17
3, 1513593589,         18
4, 1513593590,         16
5, 1513593591,         16
6, 1513593592,         26
7, 1513593593,         25
8, 1513593594,         25
9, 1513593595,         24
10, 1513593596,         26
11, 1513593597,         23
12, 1513593598,         29
13, 1513593599,         24
14, 1513593600,         26
15, 1513593601,         20
16, 1513593602,          5
17, 1513593603,          7
18, 1513593604,          5
19, 1513593605,          4
20, 1513593606,          4
21, 1513593607,          4
22, 1513593608,          3
23, 1513593609,          2
24, 1513593610,          2
25, 1513593611,          2
26, 1513593612,          2
27, 1513593613,          2
28, 1513593614,          4
29, 1513593615,          7
30, 1513593616,          8
31, 1513593617,          5
32, 1513593618,          5
33, 1513593619,          6
34, 1513593620,          6
35, 1513593621,          7
36, 1513593622,          7
37, 1513593623,          6
38, 1513593624,          6
39, 1513593625,          7
40, 1513593626,          5
41, 1513593627,          5
42, 1513593628,          6
43, 1513593629,          8
44, 1513593630,          5
45, 1513593631,          6
46, 1513593632,          6
47, 1513593633,          6
48, 1513593634,          9
49, 1513593635,          5
50, 1513593636,          6
51, 1513593637,          5
52, 1513593638,          5
53, 1513593639,          7
54, 1513593640,          4
55, 1513593641,          4
56, 1513593642,          4
57, 1513593643,          4
58, 1513593644,          2
59, 1513593645,          2
60, 1513593646,          2
61, 1513593647,          2
62, 1513593648,          2
63, 1513593649,          2
64, 1513593650,          4
65, 1513593651,          7
66, 1513593652,          8
67, 1513593653,          5
68, 1513593654,          5
69, 1513593655,          6
70, 1513593656,          6
71, 1513593657,          7
72, 1513593658,          7
73, 1513593659,          6
74, 1513593660,          6
75, 1513593661,          7
76, 1513593662,         12
77, 1513593663,          9
78, 1513593664,         10
79, 1513593665,       4207
80, 1513593666,       4294
81, 1513593667,       8605
82, 1513593668,       8573
83, 1513593669,       7357
84, 1513593670,      12695
85, 1513593671,      10631
86, 1513593672,      11805
87, 1513593673,       9009
88, 1513593674,       8577
89, 1513593675,      17145
90, 1513593676,      16611
91, 1513593677,      13402
92, 1513593678,      17142
93, 1513593679,       8575
94, 1513593680,       8573
95, 1513593681,      13748
96, 1513593682,      16271
97, 1513593683,      12855
98, 1513593684,      12858
99, 1513593685,      12856
100, 1513593686,      25599
101, 1513593687,      27553
102, 1513593688,      17197
103, 1513593689,       6147
104, 1513593690,      17143
105, 1513593691,      19962
106, 1513593692,      11391
107, 1513593693,      12862
108, 1513593694,       8579
109, 1513593695,      17140
110, 1513593696,      18388
111, 1513593697,       6946
112, 1513593698,       8786
113, 1513593699,      49348
114, 1513593700,       8574
115, 1513593701,      18958
116, 1513593702,      10910
117, 1513593703,       4290
118, 1513593704,      21433
119, 1513593705,      17147
120, 1513593706,      23296
121, 1513593707,      16697
122, 1513593708,       8728
123, 1513593709,       4300
124, 1513593710,       4292
125, 1513593711,      21561
126, 1513593712,       5181
