Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
0, 1513593587,          0
1, 1513593588,          0
2, 1513593589,          0
3, 1513593590,          0
4, 1513593591,          0
5, 1513593592,          0
6, 1513593593,          0
7, 1513593594,          0
8, 1513593595,          0
9, 1513593596,          0
10, 1513593597,          0
11, 1513593598,          0
12, 1513593599,          0
13, 1513593600,          0
14, 1513593601,          0
15, 1513593602,          0
16, 1513593603,          0
17, 1513593604,          0
18, 1513593605,          0
19, 1513593606,          0
20, 1513593607,          0
21, 1513593608,          0
22, 1513593609,          0
23, 1513593610,          0
24, 1513593611,          0
25, 1513593612,          0
26, 1513593613,          0
27, 1513593614,          0
28, 1513593615,          0
29, 1513593616,          0
30, 1513593617,          0
31, 1513593618,          0
32, 1513593619,          0
33, 1513593620,          0
34, 1513593621,          0
35, 1513593622,          0
36, 1513593623,          0
37, 1513593624,          0
38, 1513593625,          0
39, 1513593626,          0
40, 1513593627,          0
41, 1513593628,          0
42, 1513593629,          0
43, 1513593630,          0
44, 1513593631,          0
45, 1513593632,          0
46, 1513593633,          0
47, 1513593634,          0
48, 1513593635,          0
49, 1513593636,          0
50, 1513593637,          0
51, 1513593638,          0
52, 1513593639,          0
53, 1513593640,          0
54, 1513593641,          0
55, 1513593642,          0
56, 1513593643,          0
57, 1513593644,          0
58, 1513593645,          0
59, 1513593646,          0
60, 1513593647,          0
61, 1513593648,          0
62, 1513593649,          0
63, 1513593650,          0
64, 1513593651,          0
65, 1513593652,          0
66, 1513593653,          0
67, 1513593654,          0
68, 1513593655,          0
69, 1513593656,          0
70, 1513593657,          0
71, 1513593658,          0
72, 1513593659,          0
73, 1513593660,          0
74, 1513593661,          0
75, 1513593662,          0
76, 1513593663,          0
77, 1513593664,          0
78, 1513593665,          0
79, 1513593666,          0
80, 1513593667,          0
81, 1513593668,          0
82, 1513593669,          0
83, 1513593670,          0
84, 1513593671,          0
85, 1513593672,          0
86, 1513593673,          0
87, 1513593674,          0
88, 1513593675,          0
89, 1513593676,          0
90, 1513593677,          0
91, 1513593678,          0
92, 1513593679,          0
93, 1513593680,          0
94, 1513593681,          0
95, 1513593682,          0
96, 1513593683,          0
97, 1513593684,          0
98, 1513593685,          0
99, 1513593686,          0
100, 1513593687,          0
101, 1513593688,          0
102, 1513593689,          0
103, 1513593690,          0
104, 1513593691,          0
105, 1513593692,          0
106, 1513593693,          0
107, 1513593694,          0
108, 1513593695,          0
109, 1513593696,          0
110, 1513593697,          0
111, 1513593698,          0
112, 1513593699,          0
113, 1513593700,          0
114, 1513593701,          0
115, 1513593702,          0
116, 1513593703,          0
117, 1513593704,          0
118, 1513593705,          0
119, 1513593706,          0
120, 1513593707,          0
121, 1513593708,          0
122, 1513593709,          0
123, 1513593710,          0
124, 1513593711,          0
125, 1513593712,          0
126, 1513593713,          0
127, 1513593714,          0
128, 1513593715,          0
129, 1513593716,          0
130, 1513593717,          0
131, 1513593718,          0
132, 1513593719,          0
133, 1513593720,          0
134, 1513593721,          0
135, 1513593722,          0
136, 1513593723,          0
137, 1513593724,          0
138, 1513593725,          0
139, 1513593726,          0
140, 1513593727,          0
141, 1513593728,          0
142, 1513593729,          0
143, 1513593730,          0
144, 1513593731,          0
145, 1513593732,          0
146, 1513593733,          0
147, 1513593734,          0
148, 1513593735,          0
149, 1513593736,          0
150, 1513593737,          0
151, 1513593738,          0
152, 1513593739,          0
153, 1513593740,          0
154, 1513593741,          0
155, 1513593742,          0
156, 1513593743,          0
157, 1513593744,          0
158, 1513593745,          0
159, 1513593746,          0
160, 1513593747,          0
161, 1513593748,          0
162, 1513593749,          0
163, 1513593750,          0
164, 1513593751,          0
165, 1513593752,          0
166, 1513593753,          0
167, 1513593754,          0
168, 1513593755,          0
169, 1513593756,          0
170, 1513593757,          0
171, 1513593758,          0
172, 1513593759,          0
173, 1513593760,          0
174, 1513593761,          0
175, 1513593762,          0
176, 1513593763,          0
177, 1513593764,          0
178, 1513593765,          0
179, 1513593766,          0
180, 1513593767,          0
181, 1513593768,          0
182, 1513593769,          0
183, 1513593770,          0
184, 1513593771,          0
185, 1513593772,          0
186, 1513593773,          0
187, 1513593774,          0
188, 1513593775,          0
189, 1513593776,          0
190, 1513593777,          0
191, 1513593778,          0
192, 1513593779,          0
193, 1513593780,          0
194, 1513593781,          0
195, 1513593782,          0
